endpoint,column_name,observed_types,files_seen,non_null_sample_count,sample_rows_checked
drivers,broadcast_name,string,76,1000,1000
drivers,country_code,string,76,499,1000
drivers,driver_number,bigint,76,1000,1000
drivers,first_name,string,76,1000,1000
drivers,full_name,string,76,1000,1000
drivers,headshot_url,string,76,963,1000
drivers,last_name,string,76,1000,1000
drivers,meeting_key,bigint,76,1000,1000
drivers,name_acronym,string,76,1000,1000
drivers,session_key,bigint,76,1000,1000
drivers,team_colour,string,76,1000,1000
drivers,team_name,string,76,1000,1000
laps,date_start,string,64,1000,1000
laps,driver_number,bigint,64,1000,1000
laps,duration_sector_1,double,64,998,1000
laps,duration_sector_2,double,64,1000,1000
laps,duration_sector_3,double,64,998,1000
laps,i1_speed,bigint,64,931,1000
laps,i2_speed,bigint,64,1000,1000
laps,is_pit_out_lap,boolean,64,1000,1000
laps,lap_duration,double,64,998,1000
laps,lap_number,bigint,64,1000,1000
laps,meeting_key,bigint,64,1000,1000
laps,segments_sector_1,array<bigint>,64,1000,1000
laps,segments_sector_2,array<bigint>,64,1000,1000
laps,segments_sector_3,array<bigint>,64,1000,1000
laps,session_key,bigint,64,1000,1000
laps,st_speed,bigint,64,1000,1000
meetings,circuit_image,string,3,74,74
meetings,circuit_info_url,string,3,74,74
meetings,circuit_key,bigint,3,74,74
meetings,circuit_short_name,string,3,74,74
meetings,circuit_type,string,3,74,74
meetings,country_code,string,3,74,74
meetings,country_flag,string,3,74,74
meetings,country_key,bigint,3,74,74
meetings,country_name,string,3,74,74
meetings,date_end,string,3,74,74
meetings,date_start,string,3,74,74
meetings,gmt_offset,string,3,74,74
meetings,is_cancelled,boolean,3,74,74
meetings,location,string,3,74,74
meetings,meeting_key,bigint,3,74,74
meetings,meeting_name,string,3,74,74
meetings,meeting_official_name,string,3,74,74
meetings,year,bigint,3,74,74
pit,date,string,59,1000,1000
pit,driver_number,bigint,59,1000,1000
pit,lane_duration,double,59,1000,1000
pit,lap_number,bigint,59,1000,1000
pit,meeting_key,bigint,59,1000,1000
pit,pit_duration,double,59,1000,1000
pit,session_key,bigint,59,1000,1000
pit,stop_duration,double,59,282,1000
position,date,string,67,1000,1000
position,driver_number,bigint,67,1000,1000
position,meeting_key,bigint,67,1000,1000
position,position,bigint,67,1000,1000
position,session_key,bigint,67,1000,1000
race_control,category,string,64,1000,1000
race_control,date,string,64,1000,1000
race_control,driver_number,bigint,64,313,1000
race_control,flag,string,64,479,1000
race_control,lap_number,bigint,64,1000,1000
race_control,meeting_key,bigint,64,1000,1000
race_control,message,string,64,1000,1000
race_control,qualifying_phase,string,64,0,1000
race_control,scope,string,64,479,1000
race_control,sector,bigint,64,143,1000
race_control,session_key,bigint,64,1000,1000
session_result,dnf,boolean,72,1000,1000
session_result,dns,boolean,72,1000,1000
session_result,driver_number,bigint,72,1000,1000
session_result,dsq,boolean,72,1000,1000
session_result,duration,double,72,786,1000
session_result,gap_to_leader,string,72,924,1000
session_result,meeting_key,bigint,72,1000,1000
session_result,number_of_laps,bigint,72,993,1000
session_result,points,double,72,1000,1000
session_result,position,bigint,72,932,1000
session_result,session_key,bigint,72,1000,1000
sessions,circuit_key,bigint,3,364,364
sessions,circuit_short_name,string,3,364,364
sessions,country_code,string,3,364,364
sessions,country_key,bigint,3,364,364
sessions,country_name,string,3,364,364
sessions,date_end,string,3,364,364
sessions,date_start,string,3,364,364
sessions,gmt_offset,string,3,364,364
sessions,is_cancelled,boolean,3,364,364
sessions,location,string,3,364,364
sessions,meeting_key,bigint,3,364,364
sessions,session_key,bigint,3,364,364
sessions,session_name,string,3,364,364
sessions,session_type,string,3,364,364
sessions,year,bigint,3,364,364
weather,air_temperature,double,70,1000,1000
weather,date,string,70,1000,1000
weather,humidity,double,70,1000,1000
weather,meeting_key,bigint,70,1000,1000
weather,pressure,double,70,1000,1000
weather,rainfall,bigint,70,1000,1000
weather,session_key,bigint,70,1000,1000
weather,track_temperature,double,70,1000,1000
weather,wind_direction,bigint,70,1000,1000
weather,wind_speed,double,70,1000,1000
