scope,key,endpoint,count
by_status,matched,,609
by_status,optional_missing,,89
by_status,manifest_failed_no_file,,20
by_endpoint,manifest_failed_no_file,drivers,1
by_endpoint,matched,drivers,88
by_endpoint,manifest_failed_no_file,laps,1
by_endpoint,matched,laps,88
by_endpoint,matched,meetings,3
by_endpoint,manifest_failed_no_file,pit,14
by_endpoint,matched,pit,75
by_endpoint,manifest_failed_no_file,position,1
by_endpoint,matched,position,88
by_endpoint,manifest_failed_no_file,race_control,1
by_endpoint,matched,race_control,88
by_endpoint,manifest_failed_no_file,session_result,1
by_endpoint,matched,session_result,88
by_endpoint,matched,sessions,3
by_endpoint,optional_missing,starting_grid,89
by_endpoint,manifest_failed_no_file,weather,1
by_endpoint,matched,weather,88
by_issue_type,none,,609
by_issue_type,optional_endpoint,,89
by_issue_type,manifest_only,,20
totals,matched,,609
totals,stale_files,,0
totals,missing_files,,0
totals,row_mismatches,,0
totals,failed_but_file_present,,0
totals,optional_missing,,89
totals,manifest_failed_no_file,,20
totals,unknown,,0
totals,total_rows_reconciled,,718
