circuit_short_name,points_finish,cnt
Austin,0,75
Austin,1,45
Baku,0,41
Baku,1,38
Catalunya,0,29
Catalunya,1,30
Hungaroring,0,30
Hungaroring,1,30
Imola,0,20
Imola,1,20
Interlagos,0,66
Interlagos,1,54
Jeddah,0,31
Jeddah,1,29
Las Vegas,0,30
Las Vegas,1,30
Lusail,0,66
Lusail,1,54
Melbourne,0,29
Melbourne,1,30
Mexico City,0,30
Mexico City,1,30
Miami,0,54
Miami,1,46
Monte Carlo,0,30
Monte Carlo,1,30
Montreal,0,30
Montreal,1,30
Monza,0,30
Monza,1,30
Sakhir,0,30
Sakhir,1,30
Shanghai,0,44
Shanghai,1,36
Silverstone,0,30
Silverstone,1,30
Singapore,0,29
Singapore,1,30
Spa-Francorchamps,0,54
Spa-Francorchamps,1,46
Spielberg,0,54
Spielberg,1,46
Suzuka,0,30
Suzuka,1,30
Yas Marina Circuit,0,30
Yas Marina Circuit,1,30
Zandvoort,0,30
Zandvoort,1,30
