column_name,leakage_risk,allowed_for_modeling,reason
session_key,none,False,identifier key
meeting_key,none,False,identifier key
driver_number,none,False,identifier key
result_dnf,high,False,post-race outcome or diagnostic field
result_dns,high,False,post-race outcome or diagnostic field
result_dsq,high,False,post-race outcome or diagnostic field
points_finish,target,False,model target
final_position,high,False,post-race outcome or diagnostic field
result_points,high,False,post-race outcome or diagnostic field
full_name,low,False,metadata; encode explicitly if used in modeling
name_acronym,low,False,metadata; encode explicitly if used in modeling
team_name,low,False,metadata; encode explicitly if used in modeling
driver_country_code,low,False,metadata; encode explicitly if used in modeling
session_type,low,False,metadata; encode explicitly if used in modeling
session_name,low,False,metadata; encode explicitly if used in modeling
circuit_short_name,low,False,metadata; encode explicitly if used in modeling
location,low,False,metadata; encode explicitly if used in modeling
session_year,low,False,metadata; encode explicitly if used in modeling
session_country_name,low,False,metadata; encode explicitly if used in modeling
meeting_name,low,False,metadata; encode explicitly if used in modeling
circuit_key,low,False,metadata; encode explicitly if used in modeling
lap_count,low,True,engineered session feature; see feature tier in model_feature_plan
avg_lap_duration,low,True,engineered session feature; see feature tier in model_feature_plan
median_lap_duration,low,True,engineered session feature; see feature tier in model_feature_plan
best_lap_duration,low,True,engineered session feature; see feature tier in model_feature_plan
std_lap_duration,low,True,engineered session feature; see feature tier in model_feature_plan
avg_sector_1,low,True,engineered session feature; see feature tier in model_feature_plan
avg_sector_2,low,True,engineered session feature; see feature tier in model_feature_plan
avg_sector_3,low,True,engineered session feature; see feature tier in model_feature_plan
avg_i1_speed,low,True,engineered session feature; see feature tier in model_feature_plan
avg_i2_speed,low,True,engineered session feature; see feature tier in model_feature_plan
avg_st_speed,low,True,engineered session feature; see feature tier in model_feature_plan
pit_out_lap_count,low,True,engineered session feature; see feature tier in model_feature_plan
avg_first5_lap_duration,low,True,engineered session feature; see feature tier in model_feature_plan
best_first5_lap_duration,low,True,engineered session feature; see feature tier in model_feature_plan
std_first5_lap_duration,low,True,engineered session feature; see feature tier in model_feature_plan
pit_stop_count,low,True,engineered session feature; see feature tier in model_feature_plan
avg_pit_duration,low,True,engineered session feature; see feature tier in model_feature_plan
min_pit_duration,low,True,engineered session feature; see feature tier in model_feature_plan
max_pit_duration,low,True,engineered session feature; see feature tier in model_feature_plan
first_pit_lap,low,True,engineered session feature; see feature tier in model_feature_plan
early_pit_stop_flag,low,True,engineered session feature; see feature tier in model_feature_plan
first_observed_position,low,True,engineered session feature; see feature tier in model_feature_plan
early_avg_position,low,True,engineered session feature; see feature tier in model_feature_plan
early_min_position,low,True,engineered session feature; see feature tier in model_feature_plan
early_max_position,low,True,engineered session feature; see feature tier in model_feature_plan
position_observation_count,low,True,engineered session feature; see feature tier in model_feature_plan
diagnostic_final_observed_position,high,False,post-race outcome or diagnostic field
avg_air_temperature,low,True,engineered session feature; see feature tier in model_feature_plan
avg_track_temperature,low,True,engineered session feature; see feature tier in model_feature_plan
avg_humidity,low,True,engineered session feature; see feature tier in model_feature_plan
avg_pressure,low,True,engineered session feature; see feature tier in model_feature_plan
avg_wind_speed,low,True,engineered session feature; see feature tier in model_feature_plan
rainfall_mean,low,True,engineered session feature; see feature tier in model_feature_plan
rainfall_flag,low,True,engineered session feature; see feature tier in model_feature_plan
race_control_message_count,low,True,engineered session feature; see feature tier in model_feature_plan
flag_message_count,low,True,engineered session feature; see feature tier in model_feature_plan
yellow_flag_count,low,True,engineered session feature; see feature tier in model_feature_plan
red_flag_count,low,True,engineered session feature; see feature tier in model_feature_plan
green_flag_count,low,True,engineered session feature; see feature tier in model_feature_plan
safety_car_message_count,low,True,engineered session feature; see feature tier in model_feature_plan
pit_exit_message_count,low,True,engineered session feature; see feature tier in model_feature_plan
