table_name,rule_id,rule_description,rows_before,rows_after,rows_removed,values_imputed,columns_affected,severity,rationale
meetings,SIL_RENAME,Standardize column names to snake_case,74,74,0,0,,medium,
meetings,SIL_CAST_NUM,Cast meeting_key and year to long,74,74,0,0,"meeting_key,year",medium,
meetings,SIL_DROP_NULL_KEYS,Drop rows with null meeting_key,74,74,0,0,meeting_key,high,Meeting grain requires meeting_key
meetings,SIL_DUP_FULL,Remove exact duplicate rows,74,74,0,0,,medium,
meetings,SIL_DUP_KEY,Deduplicate on meeting_key,74,74,0,0,meeting_key,high,
sessions,SIL_RENAME,Standardize column names to snake_case,364,364,0,0,,medium,
sessions,SIL_CAST_SCHEMA,Cast keys to long and session dates to timestamp,364,364,0,0,"session_key,meeting_key,year,date_start,date_end",medium,
sessions,SIL_DROP_NULL_KEYS,Drop rows with null session_key,364,364,0,0,session_key,high,
sessions,SIL_DUP_FULL,Remove exact duplicate rows,364,364,0,0,,medium,
sessions,SIL_DUP_KEY,Deduplicate on session_key,364,364,0,0,session_key,high,
drivers,SIL_RENAME,Standardize column names to snake_case,1756,1756,0,0,,medium,
drivers,SIL_CAST_NUM,Cast driver and session keys to long,1756,1756,0,0,"session_key,driver_number,meeting_key",medium,
drivers,SIL_DROP_NULL_KEYS,Drop rows with null session_key or driver_number,1756,1756,0,0,"session_key,driver_number",high,
drivers,SIL_DUP_FULL,Remove exact duplicate rows,1756,1756,0,0,,medium,
drivers,SIL_DUP_KEY,Deduplicate on session_key and driver_number,1756,1756,0,0,"session_key,driver_number",high,
laps,SIL_RENAME,Standardize column names to snake_case,84140,84140,0,0,,medium,
laps,SIL_CAST_NUM,Cast lap keys to long and timing fields to double,84140,84140,0,0,"session_key,driver_number,lap_number,lap_duration,duration,duration_sector_1,duration_sector_2,duration_sector_3",medium,
laps,SIL_DROP_NULL_KEYS,"Drop rows missing session_key, driver_number, or lap_number",84140,84140,0,0,"session_key,driver_number,lap_number",high,"Lap grain requires session, driver, and lap number"
laps,SIL_LAP_NUM_POS,Remove lap_number <= 0,84140,84140,0,0,lap_number,high,Lap index must be positive
laps,SIL_LAP_DUR_POS,Remove non-null lap_duration or duration <= 0,84140,84140,0,0,"lap_duration,duration",high,Recorded lap time must be positive when present
laps,SIL_DUP_FULL,Remove exact duplicate rows,84140,84140,0,0,,medium,
laps,SIL_DUP_KEY,"Deduplicate on session_key, driver_number, lap_number",84140,84140,0,0,"session_key,driver_number,lap_number",high,
pit,SIL_RENAME,Standardize column names to snake_case,2449,2449,0,0,,medium,
pit,SIL_CAST_NUM,Cast pit keys to long and duration fields to double,2449,2449,0,0,"session_key,driver_number,lap_number,pit_duration,lane_duration",medium,
pit,SIL_DROP_NULL_KEYS,Drop rows with null session_key or driver_number,2449,2449,0,0,"session_key,driver_number",high,
pit,SIL_PIT_LAP_POS,Remove non-null lap_number <= 0,2449,2449,0,0,lap_number,high,
pit,SIL_DUP_FULL,Remove exact duplicate rows,2449,2449,0,0,,medium,
pit,SIL_DUP_KEY,"Deduplicate on session_key, driver_number, lap_number when present",2449,2449,0,0,"session_key,driver_number,lap_number",high,
weather,SIL_RENAME,Standardize column names to snake_case,12674,12674,0,0,,medium,
weather,SIL_CAST_SCHEMA,"Cast weather session_key to long, measures to double, parse date to timestamp",12674,12674,0,0,"session_key,air_temperature,track_temperature,humidity,pressure,rainfall,date",medium,
weather,SIL_DROP_NULL_KEYS,Drop rows with null session_key,12674,12674,0,0,session_key,high,
weather,SIL_DUP_FULL,Remove exact duplicate rows,12674,12674,0,0,,medium,
position,SIL_RENAME,Standardize column names to snake_case,37778,37778,0,0,,medium,
position,SIL_CAST_SCHEMA,Cast position keys and parse observation date to timestamp,37778,37778,0,0,"session_key,driver_number,position,meeting_key,date",medium,
position,SIL_DROP_NULL_KEYS,Drop rows with null session_key or driver_number,37778,37778,0,0,"session_key,driver_number",high,
position,SIL_POS_POSITIVE,Remove non-null position <= 0,37778,37778,0,0,position,high,
position,SIL_DUP_FULL,Remove exact duplicate rows,37778,37778,0,0,,medium,
position,SIL_DUP_KEY,"Deduplicate on session_key, driver_number, date",37778,37778,0,0,"session_key,driver_number,date",high,
race_control,SIL_RENAME,Standardize column names to snake_case,7193,7193,0,0,,medium,
race_control,SIL_CAST_SCHEMA,Cast keys and parse message date to timestamp,7193,7193,0,0,"session_key,meeting_key,date",medium,
race_control,SIL_DROP_NULL_KEYS,Drop rows with null session_key,7193,7193,0,0,session_key,high,
race_control,SIL_DUP_FULL,Remove exact duplicate rows,7193,7193,0,0,,medium,
race_control,SIL_RC_DUP_CHECK_RETAINED,"Race-control duplicate diagnostic groups under (session_key,date,message) checked and retained; no row removal — event-stream re-broadcasts are legitimate, handle with count-aware aggregation in Gold.",7193,7193,0,0,"session_key,date,message",low,Race control messages can repeat per driver/sector; retaining preserves event fidelity for Gold features.
session_result,SIL_RENAME,Standardize column names to snake_case,1756,1756,0,0,,medium,
session_result,SIL_CAST_NUM,Cast result keys and outcome fields to long,1756,1756,0,0,"session_key,driver_number,position,points,number_of_laps,meeting_key",medium,
session_result,SIL_DROP_NULL_KEYS,Drop rows with null session_key or driver_number,1756,1756,0,0,"session_key,driver_number",high,Driver-session grain required for Gold mart
session_result,SIL_RES_POS_POSITIVE,Remove non-null position <= 0,1756,1756,0,0,position,high,
session_result,SIL_RES_POINTS_NONNEG,Remove rows with points < 0,1756,1756,0,0,points,high,
session_result,SIL_DUP_FULL,Remove exact duplicate rows,1756,1756,0,0,,medium,
session_result,SIL_DUP_KEY,Deduplicate on session_key and driver_number,1756,1756,0,0,"session_key,driver_number",high,
starting_grid,SIL_OPTIONAL_EMPTY,Optional starting_grid — no Bronze files or zero rows,0,0,0,0,,low,OpenF1 may return 404; empty schema Parquet written for downstream joins
