table_name,column_name,dtype,missing_count,missing_pct,non_missing_count,unique_count
meetings,circuit_image,string,0,0.0,74,24
meetings,circuit_info_url,string,0,0.0,74,71
meetings,circuit_key,bigint,0,0.0,74,24
meetings,circuit_short_name,string,0,0.0,74,24
meetings,circuit_type,string,0,0.0,74,3
meetings,country_code,string,0,0.0,74,21
meetings,country_flag,string,0,0.0,74,21
meetings,country_key,bigint,0,0.0,74,21
meetings,country_name,string,0,0.0,74,21
meetings,date_end,string,0,0.0,74,74
meetings,date_start,string,0,0.0,74,74
meetings,gmt_offset,string,0,0.0,74,13
meetings,is_cancelled,boolean,0,0.0,74,2
meetings,location,string,0,0.0,74,25
meetings,meeting_key,bigint,0,0.0,74,74
meetings,meeting_name,string,0,0.0,74,25
meetings,meeting_official_name,string,0,0.0,74,74
meetings,year,bigint,0,0.0,74,3
meetings,source_file,string,0,0.0,74,3
sessions,circuit_key,bigint,0,0.0,364,24
sessions,circuit_short_name,string,0,0.0,364,24
sessions,country_code,string,0,0.0,364,21
sessions,country_key,bigint,0,0.0,364,21
sessions,country_name,string,0,0.0,364,21
sessions,date_end,string,0,0.0,364,364
sessions,date_start,string,0,0.0,364,364
sessions,gmt_offset,string,0,0.0,364,13
sessions,is_cancelled,boolean,0,0.0,364,2
sessions,location,string,0,0.0,364,25
sessions,meeting_key,bigint,0,0.0,364,74
sessions,session_key,bigint,0,0.0,364,364
sessions,session_name,string,0,0.0,364,10
sessions,session_type,string,0,0.0,364,3
sessions,year,bigint,0,0.0,364,3
sessions,source_file,string,0,0.0,364,3
drivers,broadcast_name,string,0,0.0,1756,28
drivers,country_code,string,599,34.1116,1157,18
drivers,driver_number,bigint,0,0.0,1756,32
drivers,first_name,string,0,0.0,1756,28
drivers,full_name,string,0,0.0,1756,28
drivers,headshot_url,string,64,3.6446,1692,47
drivers,last_name,string,0,0.0,1756,28
drivers,meeting_key,bigint,0,0.0,1756,70
drivers,name_acronym,string,0,0.0,1756,28
drivers,session_key,bigint,0,0.0,1756,88
drivers,team_colour,string,0,0.0,1756,37
drivers,team_name,string,0,0.0,1756,13
drivers,source_file,string,0,0.0,1756,88
laps,date_start,string,61,0.0725,84079,82408
laps,driver_number,bigint,0,0.0,84140,32
laps,duration_sector_1,double,587,0.6976,83553,23831
laps,duration_sector_2,double,248,0.2947,83892,25436
laps,duration_sector_3,double,351,0.4172,83789,24468
laps,i1_speed,bigint,13063,15.5253,71077,318
laps,i2_speed,bigint,1155,1.3727,82985,298
laps,is_pit_out_lap,boolean,0,0.0,84140,2
laps,lap_duration,double,303,0.3601,83837,38879
laps,lap_number,bigint,0,0.0,84140,79
laps,meeting_key,bigint,0,0.0,84140,70
laps,segments_sector_1,array<bigint>,122,0.145,84018,3980
laps,segments_sector_2,array<bigint>,134,0.1593,84006,4986
laps,segments_sector_3,array<bigint>,160,0.1902,83980,3536
laps,session_key,bigint,0,0.0,84140,88
laps,st_speed,bigint,6968,8.2814,77172,309
laps,source_file,string,0,0.0,84140,88
pit,date,string,0,0.0,2449,2448
pit,driver_number,bigint,0,0.0,2449,32
pit,lane_duration,double,0,0.0,2449,1182
pit,lap_number,bigint,0,0.0,2449,73
pit,meeting_key,bigint,0,0.0,2449,64
pit,pit_duration,double,0,0.0,2449,1182
pit,session_key,bigint,0,0.0,2449,75
pit,stop_duration,double,1571,64.1486,878,100
pit,source_file,string,0,0.0,2449,75
weather,air_temperature,double,0,0.0,12674,200
weather,date,string,0,0.0,12674,12674
weather,humidity,double,0,0.0,12674,80
weather,meeting_key,bigint,0,0.0,12674,70
weather,pressure,double,0,0.0,12674,447
weather,rainfall,bigint,0,0.0,12674,2
weather,session_key,bigint,0,0.0,12674,88
weather,track_temperature,double,0,0.0,12674,389
weather,wind_direction,bigint,0,0.0,12674,360
weather,wind_speed,double,0,0.0,12674,68
weather,source_file,string,0,0.0,12674,88
position,date,string,0,0.0,37778,16051
position,driver_number,bigint,0,0.0,37778,32
position,meeting_key,bigint,0,0.0,37778,70
position,position,bigint,0,0.0,37778,20
position,session_key,bigint,0,0.0,37778,88
position,source_file,string,0,0.0,37778,88
race_control,category,string,0,0.0,7193,6
race_control,date,string,0,0.0,7193,6960
race_control,driver_number,bigint,5573,77.4781,1620,31
race_control,flag,string,3762,52.3008,3431,9
race_control,lap_number,bigint,2,0.0278,7191,79
race_control,meeting_key,bigint,0,0.0,7193,70
race_control,message,string,0,0.0,7193,4052
race_control,qualifying_phase,string,7193,100.0,0,1
race_control,scope,string,3762,52.3008,3431,4
race_control,sector,bigint,5726,79.6052,1467,22
race_control,session_key,bigint,0,0.0,7193,88
race_control,source_file,string,0,0.0,7193,88
session_result,dnf,boolean,0,0.0,1756,2
session_result,dns,boolean,0,0.0,1756,2
session_result,driver_number,bigint,0,0.0,1756,32
session_result,dsq,boolean,0,0.0,1756,2
session_result,duration,double,498,28.3599,1258,1259
session_result,gap_to_leader,string,202,11.5034,1554,1170
session_result,meeting_key,bigint,0,0.0,1756,70
session_result,number_of_laps,bigint,7,0.3986,1749,72
session_result,points,double,0,0.0,1756,20
session_result,position,bigint,177,10.0797,1579,21
session_result,session_key,bigint,0,0.0,1756,88
session_result,source_file,string,0,0.0,1756,88
