layer,entity,row_count,file_count
bronze,all_endpoints,148184,609
bronze,drivers,1756,88
bronze,laps,84140,88
bronze,meetings,74,3
bronze,pit,2449,75
bronze,position,37778,88
bronze,race_control,7193,88
bronze,session_result,1756,88
bronze,sessions,364,3
bronze,weather,12674,88
silver,meetings,74,1
silver,sessions,364,1
silver,drivers,1756,1
silver,laps,84140,1
silver,pit,2449,1
silver,weather,12674,1
silver,position,37778,1
silver,race_control,7193,1
silver,session_result,1756,1
silver,starting_grid,0,1
gold,driver_race_feature_mart,1756,1
