model_name,split,error_type,count
heuristic_position,test,false_negative,240
heuristic_position,test,false_positive,288
heuristic_position,validation,false_negative,168
heuristic_position,validation,false_positive,216
lightgbm,test,false_negative,276
lightgbm,test,false_positive,248
lightgbm,validation,false_negative,268
lightgbm,validation,false_positive,192
logistic_regression,test,false_negative,240
logistic_regression,test,false_positive,400
logistic_regression,validation,false_negative,352
logistic_regression,validation,false_positive,184
majority_baseline,test,false_negative,1152
majority_baseline,test,false_positive,0
majority_baseline,validation,false_negative,1152
majority_baseline,validation,false_positive,0
random_baseline,test,false_negative,624
random_baseline,test,false_positive,580
random_baseline,validation,false_negative,624
random_baseline,validation,false_positive,580
random_forest,test,false_negative,268
random_forest,test,false_positive,220
random_forest,validation,false_negative,204
random_forest,validation,false_positive,164
