table_name,duplicate_type,duplicate_count,duplicate_pct,stage,key_columns,duplicate_key_count,affected_rows,affected_rows_pct,status,duplicate_check_note
meetings,full_row_duplicate,0.0,0.0,before,,,,,,
meetings,key_duplicate,,,before,meeting_key,0.0,0.0,0.0,checked,
sessions,full_row_duplicate,0.0,0.0,before,,,,,,
sessions,key_duplicate,,,before,session_key,0.0,0.0,0.0,checked,
drivers,full_row_duplicate,0.0,0.0,before,,,,,,
drivers,key_duplicate,,,before,"session_key,driver_number",0.0,0.0,0.0,checked,
laps,full_row_duplicate,0.0,0.0,before,,,,,,Converted complex object columns to stable strings for duplicate check
laps,key_duplicate,,,before,"session_key,driver_number,lap_number",0.0,0.0,0.0,checked,
pit,full_row_duplicate,0.0,0.0,before,,,,,,
pit,key_duplicate,,,before,"session_key,driver_number,lap_number",0.0,0.0,0.0,checked,
weather,full_row_duplicate,0.0,0.0,before,,,,,,
weather,key_duplicate,,,before,"session_key,date",0.0,0.0,0.0,checked,
position,full_row_duplicate,0.0,0.0,before,,,,,,
position,key_duplicate,,,before,"session_key,driver_number,date",0.0,0.0,0.0,checked,
race_control,full_row_duplicate,0.0,0.0,before,,,,,,
race_control,key_duplicate,,,before,"session_key,date,message",0.0,0.0,0.0,checked,
session_result,full_row_duplicate,0.0,0.0,before,,,,,,
session_result,key_duplicate,,,before,"session_key,driver_number",0.0,0.0,0.0,checked,
starting_grid,full_row_duplicate,0.0,0.0,before,,,,,,
starting_grid,key_duplicate,,,before,"session_key,driver_number",0.0,0.0,0.0,skipped_empty,
meetings,full_row_duplicate,0.0,0.0,after,,,,,,
meetings,key_duplicate,,,after,meeting_key,0.0,0.0,0.0,checked,
sessions,full_row_duplicate,0.0,0.0,after,,,,,,
sessions,key_duplicate,,,after,session_key,0.0,0.0,0.0,checked,
drivers,full_row_duplicate,0.0,0.0,after,,,,,,
drivers,key_duplicate,,,after,"session_key,driver_number",0.0,0.0,0.0,checked,
laps,full_row_duplicate,0.0,0.0,after,,,,,,Converted complex object columns to stable strings for duplicate check
laps,key_duplicate,,,after,"session_key,driver_number,lap_number",0.0,0.0,0.0,checked,
pit,full_row_duplicate,0.0,0.0,after,,,,,,
pit,key_duplicate,,,after,"session_key,driver_number,lap_number",0.0,0.0,0.0,checked,
weather,full_row_duplicate,0.0,0.0,after,,,,,,
weather,key_duplicate,,,after,"session_key,date",0.0,0.0,0.0,checked,
position,full_row_duplicate,0.0,0.0,after,,,,,,
position,key_duplicate,,,after,"session_key,driver_number,date",0.0,0.0,0.0,checked,
race_control,full_row_duplicate,0.0,0.0,after,,,,,,
race_control,key_duplicate,,,after,"session_key,date,message",0.0,0.0,0.0,checked,
session_result,full_row_duplicate,0.0,0.0,after,,,,,,
session_result,key_duplicate,,,after,"session_key,driver_number",0.0,0.0,0.0,checked,
starting_grid,full_row_duplicate,0.0,0.0,after,,,,,,
starting_grid,key_duplicate,,,after,"session_key,driver_number",0.0,0.0,0.0,skipped_empty,
